127.0.0.1 - - [09/Apr/2025:13:42:15 -0300] "GET / HTTP/1.1" 404 763
127.0.0.1 - - [09/Apr/2025:13:58:39 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 602
127.0.0.1 - - [09/Apr/2025:13:58:39 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 210
127.0.0.1 - - [09/Apr/2025:13:58:39 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:13:59:19 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 602
127.0.0.1 - - [09/Apr/2025:13:59:19 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 225
127.0.0.1 - - [09/Apr/2025:13:59:19 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:13:59:52 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 602
127.0.0.1 - - [09/Apr/2025:13:59:52 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 265
127.0.0.1 - - [09/Apr/2025:13:59:52 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:00:17 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 602
127.0.0.1 - - [09/Apr/2025:14:00:17 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 259
127.0.0.1 - - [09/Apr/2025:14:00:17 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:00:23 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 602
127.0.0.1 - - [09/Apr/2025:14:00:24 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 260
127.0.0.1 - - [09/Apr/2025:14:00:24 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:07:14 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 616
127.0.0.1 - - [09/Apr/2025:14:07:15 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 267
127.0.0.1 - - [09/Apr/2025:14:07:15 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:10:36 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 657
127.0.0.1 - - [09/Apr/2025:14:10:36 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 267
127.0.0.1 - - [09/Apr/2025:14:10:36 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:10:36 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:12:20 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:12:20 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 319
127.0.0.1 - - [09/Apr/2025:14:12:20 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:12:20 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:12:33 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:12:34 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 311
127.0.0.1 - - [09/Apr/2025:14:12:34 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:12:34 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:12:55 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:12:56 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 313
127.0.0.1 - - [09/Apr/2025:14:12:56 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:12:56 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:13:12 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:13:12 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 313
127.0.0.1 - - [09/Apr/2025:14:13:12 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:13:12 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:13:26 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:13:26 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 313
127.0.0.1 - - [09/Apr/2025:14:13:26 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:13:26 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:13:42 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:13:42 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 313
127.0.0.1 - - [09/Apr/2025:14:13:42 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:13:42 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:13:56 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:13:56 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 329
127.0.0.1 - - [09/Apr/2025:14:13:56 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:13:56 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:14:02 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:14:02 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 329
127.0.0.1 - - [09/Apr/2025:14:14:02 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:14:02 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:14:14 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:14:15 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 329
127.0.0.1 - - [09/Apr/2025:14:14:15 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:14:15 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:14:22 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:14:22 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 329
127.0.0.1 - - [09/Apr/2025:14:14:22 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:14:22 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:32:24 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:32:25 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 572
127.0.0.1 - - [09/Apr/2025:14:32:25 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:32:25 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:32:34 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:32:34 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 572
127.0.0.1 - - [09/Apr/2025:14:32:34 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:32:34 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:33:37 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:33:38 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 590
127.0.0.1 - - [09/Apr/2025:14:33:38 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:33:38 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:33:52 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:33:53 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 615
127.0.0.1 - - [09/Apr/2025:14:33:53 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:33:53 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:34:13 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:34:13 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 615
127.0.0.1 - - [09/Apr/2025:14:34:13 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:34:15 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:37:54 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:37:54 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 633
127.0.0.1 - - [09/Apr/2025:14:37:54 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:37:54 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:38:08 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:38:09 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 633
127.0.0.1 - - [09/Apr/2025:14:38:09 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:38:09 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:38:36 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 667
127.0.0.1 - - [09/Apr/2025:14:38:36 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 655
127.0.0.1 - - [09/Apr/2025:14:38:36 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:38:36 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:44:44 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 685
127.0.0.1 - - [09/Apr/2025:14:44:44 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 655
127.0.0.1 - - [09/Apr/2025:14:44:44 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:44:44 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:47:32 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 747
127.0.0.1 - - [09/Apr/2025:14:47:32 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 655
127.0.0.1 - - [09/Apr/2025:14:47:32 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:47:33 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:49:11 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 756
127.0.0.1 - - [09/Apr/2025:14:49:11 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 655
127.0.0.1 - - [09/Apr/2025:14:49:11 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:49:11 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:49:22 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 752
127.0.0.1 - - [09/Apr/2025:14:49:22 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 655
127.0.0.1 - - [09/Apr/2025:14:49:22 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:49:22 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:49:25 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 752
127.0.0.1 - - [09/Apr/2025:14:49:25 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 655
127.0.0.1 - - [09/Apr/2025:14:49:25 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:49:25 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:50:18 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 752
127.0.0.1 - - [09/Apr/2025:14:50:34 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 752
127.0.0.1 - - [09/Apr/2025:14:50:34 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 649
127.0.0.1 - - [09/Apr/2025:14:50:35 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 752
127.0.0.1 - - [09/Apr/2025:14:50:35 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 649
127.0.0.1 - - [09/Apr/2025:14:50:35 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:50:35 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:50:50 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 752
127.0.0.1 - - [09/Apr/2025:14:50:50 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 649
127.0.0.1 - - [09/Apr/2025:14:50:50 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:50:51 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:50:57 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 752
127.0.0.1 - - [09/Apr/2025:14:50:57 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 649
127.0.0.1 - - [09/Apr/2025:14:50:57 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:50:57 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:51:05 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 752
127.0.0.1 - - [09/Apr/2025:14:51:05 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 649
127.0.0.1 - - [09/Apr/2025:14:51:05 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:51:05 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:51:22 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 752
127.0.0.1 - - [09/Apr/2025:14:51:22 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 649
127.0.0.1 - - [09/Apr/2025:14:51:22 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:51:23 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:51:30 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 752
127.0.0.1 - - [09/Apr/2025:14:51:31 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 649
127.0.0.1 - - [09/Apr/2025:14:51:31 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:51:31 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:51:38 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 752
127.0.0.1 - - [09/Apr/2025:14:51:38 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 650
127.0.0.1 - - [09/Apr/2025:14:51:38 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:51:38 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:51:41 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 752
127.0.0.1 - - [09/Apr/2025:14:51:41 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 650
127.0.0.1 - - [09/Apr/2025:14:51:41 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:51:41 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:51:41 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 752
127.0.0.1 - - [09/Apr/2025:14:51:41 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 650
127.0.0.1 - - [09/Apr/2025:14:51:41 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:51:42 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:52:12 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 752
127.0.0.1 - - [09/Apr/2025:14:52:12 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 649
127.0.0.1 - - [09/Apr/2025:14:52:12 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:52:13 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:52:15 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 752
127.0.0.1 - - [09/Apr/2025:14:52:15 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 649
127.0.0.1 - - [09/Apr/2025:14:52:15 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:52:15 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:52:15 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:52:29 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 752
127.0.0.1 - - [09/Apr/2025:14:52:29 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 649
127.0.0.1 - - [09/Apr/2025:14:53:17 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 752
127.0.0.1 - - [09/Apr/2025:14:53:17 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 649
127.0.0.1 - - [09/Apr/2025:14:53:17 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:53:17 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:53:17 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:58:15 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 824
127.0.0.1 - - [09/Apr/2025:14:58:15 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 702
127.0.0.1 - - [09/Apr/2025:14:58:15 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:58:15 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:14:58:15 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:59:30 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 976
127.0.0.1 - - [09/Apr/2025:14:59:30 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 754
127.0.0.1 - - [09/Apr/2025:14:59:30 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:14:59:30 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:15:01:23 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 999
127.0.0.1 - - [09/Apr/2025:15:01:23 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 802
127.0.0.1 - - [09/Apr/2025:15:01:23 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:15:01:23 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:15:01:42 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 1022
127.0.0.1 - - [09/Apr/2025:15:01:43 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 802
127.0.0.1 - - [09/Apr/2025:15:01:43 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:15:01:43 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:15:01:53 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 1022
127.0.0.1 - - [09/Apr/2025:15:01:53 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 802
127.0.0.1 - - [09/Apr/2025:15:01:53 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:15:01:53 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:15:02:28 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 1022
127.0.0.1 - - [09/Apr/2025:15:02:28 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 802
127.0.0.1 - - [09/Apr/2025:15:02:29 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 1022
127.0.0.1 - - [09/Apr/2025:15:02:29 -0300] "GET /vinheriaAgnello/content/style.css HTTP/1.1" 200 802
127.0.0.1 - - [09/Apr/2025:15:02:29 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:15:02:29 -0300] "GET /favicon.ico HTTP/1.1" 404 774
127.0.0.1 - - [09/Apr/2025:15:02:29 -0300] "GET /vinheriaAgnello/content/img/logo-vinheria.png HTTP/1.1" 200 17881
127.0.0.1 - - [09/Apr/2025:15:02:55 -0300] "GET /vinheriaAgnello/index.jsp HTTP/1.1" 200 1022
